"设备ID","在线状态","电量","当前状态","错误码","错误名称","更新时间"
"SW-A7X31K02","在线","100","待机","","","2026-07-16 19:40"
"SW-B2M88J14","在线","86","清扫中","","","2026-07-16 19:49"
"SW-C9P45L77","在线","42","清扫中","","","2026-07-16 19:51"
"SW-D4K12N39","在线","63","故障","E5","主刷缠绕","2026-07-16 19:39"
"SW-E8T60Q05","离线","0","离线","","","2026-07-16 19:41"
"SW-F1R23V88","在线","71","故障","E2","机器被困","2026-07-16 19:50"
"SW-G6H97W21","在线","100","充电中","","","2026-07-16 19:32"
"SW-H3Y50X63","在线","95","待机","","","2026-07-16 19:40"
"SW-J7U18Z44","在线","58","清扫中","","","2026-07-16 19:50"
"SW-K5N72B96","在线","100","待机","","","2026-07-16 19:38"
