"用户ID","设备ID","型号","购买日期","保修截止","固件版本"
"1001","SW-A7X31K02","智扫 S5","2025-01-15","2027-01-15","5.2.1"
"1002","SW-B2M88J14","智扫 S5","2024-11-20","2026-11-20","5.2.1"
"1003","SW-C9P45L77","智扫 X10","2024-06-10","2026-06-10","6.0.3"
"1004","SW-D4K12N39","智扫 S5","2025-03-05","2027-03-05","5.2.0"
"1005","SW-E8T60Q05","智扫 S1","2023-09-12","2025-09-12","3.8.4"
"1006","SW-F1R23V88","智扫 X20 Pro","2024-12-25","2026-12-25","6.1.0"
"1007","SW-G6H97W21","智扫 S1","2025-06-18","2027-06-18","3.9.2"
"1008","SW-H3Y50X63","智扫 S5","2024-08-30","2026-08-30","5.2.1"
"1009","SW-J7U18Z44","智扫 X10","2024-03-14","2026-03-14","6.0.1"
"1010","SW-K5N72B96","智扫 X10","2023-11-08","2025-11-08","6.0.0"
